material_id,type,file,caption,source,author,license,license_url,source_url,original_url,retrieved_at
cast_iron,macro,assets/images/materials/cast_iron/macro_01.jpg,Cast iron tensile test.JPG,Wikimedia Commons,Sigmund,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Cast_iron_tensile_test.JPG,https://upload.wikimedia.org/wikipedia/commons/f/fd/Cast_iron_tensile_test.JPG,2026-07-10
steel,macro,assets/images/materials/steel/macro_01.jpg,"Alloy and metal samples - Beryllium-Copper, Inconel, Steel, Titanium, Aluminum, Magnesium.jpg",Wikimedia Commons,Bill Abbott,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"https://commons.wikimedia.org/wiki/File:Alloy_and_metal_samples_-_Beryllium-Copper,_Inconel,_Steel,_Titanium,_Aluminum,_Magnesium.jpg",https://upload.wikimedia.org/wikipedia/commons/1/1c/Alloy_and_metal_samples_-_Beryllium-Copper%2C_Inconel%2C_Steel%2C_Titanium%2C_Aluminum%2C_Magnesium.jpg,2026-07-10
