materialId,materialName,type,caption,alt,author,source,license,licenseUrl,sourceUrl,accessed_at,src,origin
steel,钢,macro,"Alloy and metal samples - Beryllium-Copper, Inconel, Steel, Titanium, Aluminum, Magnesium.jpg",钢宏观外观图片,Bill Abbott,Wikimedia Commons,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"https://commons.wikimedia.org/wiki/File:Alloy_and_metal_samples_-_Beryllium-Copper,_Inconel,_Steel,_Titanium,_Aluminum,_Magnesium.jpg",2026-07-10,assets/images/materials/steel/macro_01.webp,manual
cast_iron,铸铁,macro,Cast iron tensile test.JPG,铸铁宏观外观图片,Sigmund,Wikimedia Commons,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Cast_iron_tensile_test.JPG,2026-07-10,assets/images/materials/cast_iron/macro_01.webp,reviewed
